center_id,name,country,region,city,center_type,address,latitude,longitude,min_grade,max_grade,min_age,max_age,cost_level,membership_required,subjects,resources,utilities,affiliations,languages,accessibility,website,contact,open_schedule_json,eligibility_notes,events_json,description
EC001,Harbor Learning Hub,United States,Maryland,Baltimore,Tutoring Center,"100 Harbor Study Ave, Baltimore, MD",39.2865,-76.6092,3,12,8,18,Low-cost,No,Math|Reading|Writing|Homework Help|SAT Prep,Quiet study rooms|Peer tutoring|Exam prep books|Parent workshops,WiFi|Printing|Snacks|Wheelchair accessible,Local schools|Community mentors,English|Spanish,Wheelchair accessible; near bus stop,https://example.org/harbor-learning-hub,info@example.org,"[{""day"": ""Monday"", ""start"": ""08:30"", ""end"": ""19:00""}, {""day"": ""Tuesday"", ""start"": ""08:30"", ""end"": ""19:00""}, {""day"": ""Wednesday"", ""start"": ""08:30"", ""end"": ""19:00""}, {""day"": ""Thursday"", ""start"": ""08:30"", ""end"": ""19:00""}, {""day"": ""Friday"", ""start"": ""08:30"", ""end"": ""19:00""}, {""day"": ""Saturday"", ""start"": ""10:00"", ""end"": ""15:00""}]",Open to grades 3-12. Parent sign-in required for students under age 12.,"[{""date"": ""2026-07-08"", ""title"": ""SAT Strategy Night"", ""audience"": ""High school students""}, {""date"": ""2026-07-22"", ""title"": ""Parent College Planning Q&A"", ""audience"": ""Parents""}]","A community tutoring center focused on homework support, reading, writing, and college readiness."
EC002,Chesapeake STEM Lab,United States,Maryland,Baltimore,STEM / Makerspace,"45 Innovation Pier, Baltimore, MD",39.2816,-76.5806,6,12,11,19,Moderate,Yes,Robotics|Coding|Engineering|Science Fair|AI Basics,3D printers|Robotics kits|Mentor office hours|Project lockers,WiFi|Computers|3D printing|Safety equipment,STEM mentors|University volunteers,English,Elevator access; transit nearby,https://example.org/chesapeake-stem-lab,stem@example.org,"[{""day"": ""Tuesday"", ""start"": ""10:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""10:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""10:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""10:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""16:00""}]",Membership or school referral required for equipment access. Grades 6-12.,"[{""date"": ""2026-07-11"", ""title"": ""Intro Robotics Build Day"", ""audience"": ""Middle and high school students""}, {""date"": ""2026-08-01"", ""title"": ""AI for Science Projects"", ""audience"": ""High school students""}]","A hands-on makerspace for students interested in robotics, coding, engineering, and science projects."
EC003,Laurel Community Study Center,United States,Maryland,Laurel,Community Center,"210 Main Learning St, Laurel, MD",39.0993,-76.8483,0,12,5,18,Free,No,Homework Help|Reading|Math|Family Literacy|ESL,After-school support|Family literacy kits|Public computers|Tutoring referrals,WiFi|Public computers|Free parking|Child-friendly space,Community volunteers|Public library network,English|Spanish|French,Wheelchair accessible; free parking,https://example.org/laurel-study-center,laurel@example.org,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""12:00"", ""end"": ""16:00""}]",Open to all K-12 learners and families. No membership required.,"[{""date"": ""2026-07-06"", ""title"": ""Summer Reading Kickoff"", ""audience"": ""Elementary students""}, {""date"": ""2026-07-20"", ""title"": ""Family Digital Literacy Workshop"", ""audience"": ""Parents and students""}]","A free community learning space supporting K-12 homework, reading, and family literacy."
EC004,Silver Spring Language Center,United States,Maryland,Silver Spring,Language / ESL Center,"88 Multilingual Way, Silver Spring, MD",38.9907,-77.0261,1,12,6,19,Low-cost,No,ESL|Writing|Reading|Public Speaking|World Languages,Conversation circles|Translation support|Writing lab|Parent language nights,WiFi|Multilingual staff|Transit nearby,Immigrant family support network|Local schools,English|Spanish|Amharic|Chinese|French,Near metro and bus routes,https://example.org/silver-spring-language,language@example.org,"[{""day"": ""Monday"", ""start"": ""11:00"", ""end"": ""19:30""}, {""day"": ""Tuesday"", ""start"": ""11:00"", ""end"": ""19:30""}, {""day"": ""Wednesday"", ""start"": ""11:00"", ""end"": ""19:30""}, {""day"": ""Thursday"", ""start"": ""11:00"", ""end"": ""19:30""}, {""day"": ""Friday"", ""start"": ""11:00"", ""end"": ""19:30""}, {""day"": ""Saturday"", ""start"": ""10:00"", ""end"": ""14:00""}]",Students and families seeking language support. Placement interview recommended.,"[{""date"": ""2026-07-09"", ""title"": ""ESL Placement Clinic"", ""audience"": ""Students and parents""}, {""date"": ""2026-07-23"", ""title"": ""College Essay Language Lab"", ""audience"": ""High school students""}]","A multilingual education center focused on ESL, academic writing, reading, and parent communication."
EC005,Annapolis Arts and History Education Center,United States,Maryland,Annapolis,Museum Education Center,"12 History Harbor Rd, Annapolis, MD",38.9784,-76.4922,2,12,7,18,Low-cost,No,History|Art|Civics|Writing|Project-Based Learning,Exhibits|Guided tours|Document archives|Art studio,WiFi|Cafe nearby|Wheelchair accessible,Museum educators|Local historical society,English,Wheelchair accessible; field trip drop-off area,https://example.org/annapolis-arts-history,museum@example.org,"[{""day"": ""Tuesday"", ""start"": ""10:00"", ""end"": ""17:00""}, {""day"": ""Wednesday"", ""start"": ""10:00"", ""end"": ""17:00""}, {""day"": ""Thursday"", ""start"": ""10:00"", ""end"": ""17:00""}, {""day"": ""Friday"", ""start"": ""10:00"", ""end"": ""17:00""}, {""day"": ""Saturday"", ""start"": ""10:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""12:00"", ""end"": ""16:00""}]",Open to grades 2-12. Group visits should be booked in advance.,"[{""date"": ""2026-07-15"", ""title"": ""Student History Detectives"", ""audience"": ""Middle school students""}, {""date"": ""2026-07-29"", ""title"": ""Art Portfolio Mini-Clinic"", ""audience"": ""High school students""}]","A project-based center where students connect history, art, civics, and writing through exhibits."
EC006,Columbia College Prep Resource Center,United States,Maryland,Columbia,College Prep Center,"500 Future Path Blvd, Columbia, MD",39.2037,-76.861,9,12,14,19,Free,No,College Applications|SAT Prep|ACT Prep|Scholarships|Career Planning,Essay coaching|Financial aid workshops|College database|Mock interviews,WiFi|Computers|Printing|Evening hours,College access nonprofit|School counselors,English|Spanish,Wheelchair accessible; bus stop nearby,https://example.org/columbia-college-prep,collegeprep@example.org,"[{""day"": ""Monday"", ""start"": ""12:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""12:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""12:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""12:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""12:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""10:00"", ""end"": ""16:00""}]","For high school students, especially first-generation and scholarship-seeking applicants.","[{""date"": ""2026-07-14"", ""title"": ""Common App Bootcamp"", ""audience"": ""Rising seniors""}, {""date"": ""2026-08-04"", ""title"": ""Scholarship Search Night"", ""audience"": ""High school families""}]","A free college-readiness center for applications, financial aid, essays, and career planning."
EC007,Towson Public Library Learning Studio,United States,Maryland,Towson,Library Learning Studio,"25 Reader Square, Towson, MD",39.4015,-76.6019,0,12,5,18,Free,No,Reading|Research Skills|Digital Literacy|Homework Help|Writing,Books|Databases|Study rooms|Librarian help|Printing,WiFi|Computers|Quiet rooms|Printer,Public library system|School media specialists,English,Wheelchair accessible; public transit nearby,https://example.org/towson-library-studio,library@example.org,"[{""day"": ""Monday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Tuesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Wednesday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Thursday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Friday"", ""start"": ""09:00"", ""end"": ""18:00""}, {""day"": ""Saturday"", ""start"": ""10:00"", ""end"": ""17:00""}, {""day"": ""Sunday"", ""start"": ""13:00"", ""end"": ""17:00""}]",Open to all learners. Library card recommended for database access.,"[{""date"": ""2026-07-10"", ""title"": ""Research Skills for Middle School"", ""audience"": ""Middle school students""}, {""date"": ""2026-07-31"", ""title"": ""Teen Writing Circle"", ""audience"": ""Grades 7-12""}]","A library-based learning studio for research, writing, reading, and digital literacy."
EC008,Greenbelt Robotics Clubhouse,United States,Maryland,Greenbelt,Robotics Club,"77 Circuit Lane, Greenbelt, MD",39.0046,-76.8755,5,12,10,18,Low-cost,Yes,Robotics|Coding|Engineering|Teamwork|Competition Prep,Robotics kits|Practice field|Mentor coaching|Competition registration support,WiFi|Tool bench|Safety goggles|Storage,Robotics volunteers|Local engineering club,English|Spanish,Wheelchair accessible workshop entrance,https://example.org/greenbelt-robotics,robots@example.org,"[{""day"": ""Monday"", ""start"": ""16:00"", ""end"": ""20:30""}, {""day"": ""Tuesday"", ""start"": ""16:00"", ""end"": ""20:30""}, {""day"": ""Wednesday"", ""start"": ""16:00"", ""end"": ""20:30""}, {""day"": ""Thursday"", ""start"": ""16:00"", ""end"": ""20:30""}, {""day"": ""Friday"", ""start"": ""16:00"", ""end"": ""20:30""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""17:00""}]",Club membership required. New students can attend one trial session.,"[{""date"": ""2026-07-18"", ""title"": ""Robot Design Review"", ""audience"": ""Club members""}, {""date"": ""2026-08-08"", ""title"": ""Beginner Build Orientation"", ""audience"": ""New students""}]","A robotics-focused clubhouse for teamwork, engineering design, coding, and competition preparation."
EC009,Rockville Math Circle,United States,Maryland,Rockville,Math Enrichment Center,"305 Logic Loop, Rockville, MD",39.084,-77.1528,4,12,9,18,Moderate,No,Math|Competition Math|Problem Solving|Statistics|Data Science,Problem sets|Math circles|Competition coaching|Data labs,WiFi|Whiteboards|Online portal,Volunteer mathematicians|STEM educators,English|Chinese,Accessible classrooms; near metro,https://example.org/rockville-math-circle,math@example.org,"[{""day"": ""Monday"", ""start"": ""15:30"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""15:30"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""15:30"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""15:30"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""09:00"", ""end"": ""15:00""}]",Best for students comfortable with grade-level math. Placement quiz suggested.,"[{""date"": ""2026-07-12"", ""title"": ""AMC Problem Solving Session"", ""audience"": ""Grades 6-12""}, {""date"": ""2026-07-26"", ""title"": ""Data Science with Sports Stats"", ""audience"": ""Middle and high school students""}]","An enrichment center for math curiosity, problem solving, statistics, and competition practice."
EC010,DC Youth Tech Academy,United States,District of Columbia,Washington,Technology Academy,"900 Civic Tech Ave NW, Washington, DC",38.9072,-77.0369,7,12,12,19,Free,No,Coding|Web Development|AI Basics|Cyber Safety|Digital Portfolio,Laptop lab|Portfolio coaching|Mentor talks|GitHub workshops,WiFi|Computers|Evening hours|Transit nearby,Civic tech volunteers|Youth nonprofit,English|Spanish,Near metro; accessible entrance,https://example.org/dc-youth-tech,techacademy@example.org,"[{""day"": ""Monday"", ""start"": ""13:00"", ""end"": ""20:00""}, {""day"": ""Tuesday"", ""start"": ""13:00"", ""end"": ""20:00""}, {""day"": ""Wednesday"", ""start"": ""13:00"", ""end"": ""20:00""}, {""day"": ""Thursday"", ""start"": ""13:00"", ""end"": ""20:00""}, {""day"": ""Friday"", ""start"": ""13:00"", ""end"": ""20:00""}, {""day"": ""Saturday"", ""start"": ""10:00"", ""end"": ""16:00""}]",Open to grades 7-12. Students should bring a guardian consent form for multi-week programs.,"[{""date"": ""2026-07-16"", ""title"": ""Build Your First Streamlit App"", ""audience"": ""Grades 8-12""}, {""date"": ""2026-08-06"", ""title"": ""GitHub Portfolio Night"", ""audience"": ""High school students""}]","A free technology academy for coding, web development, AI basics, cyber safety, and portfolios."
